"sid","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"263",0.82,0.46,0.27,0.21,0.05,0.37,2.6,2.19,5.63,6.52,5.36,5.84,5.5,6.26,7.4,6.85,7.82,9.44,11.55,9.33,6.07,3.85,3.05,2.66
"264",0.21,0.18,0.07,0.03,0.22,0.9,1.97,3.43,4.7,3.19,1.59,1.61,2.49,2.74,2.34,2.95,6.42,12.38,9.95,5.42,3.76,2.29,1.66,0.93
"265",1.11,0.55,0.5,0.32,0.16,0.23,0.5,2.49,8.17,11.34,5.84,4.11,4.46,4.76,5.18,5.2,5.66,6.44,9.47,8.51,6.42,4.73,3.76,2.94
"266",0.16,0.03,0.08,0.03,0.04,0.28,0.98,3.09,11.4,4.21,1.27,0.87,1.08,1.14,1.31,1.34,1.31,1.63,1.89,1.68,1.15,0.56,0.47,0.18
"267",0.34,0.16,0.15,0.09,0.05,0.18,1.22,3.08,9.68,10.11,4.11,3.63,3.63,3.59,3.9,4.21,5.06,9.16,8.15,4.32,2.92,1.94,1.34,0.65
"268",0.85,0.37,0.24,0.18,0.14,0.22,1.24,1.85,6.24,5.33,4.4,4.31,6.45,7.23,6.37,7.16,8.76,14.18,15.76,8.32,3.98,2.74,1.62,1.58
"270",0.24,0.11,0.01,NA,0.01,0.16,2.58,4.95,9.54,1.76,1.08,1.24,1.36,1.27,1.59,1.44,1.7,2.13,2.48,1.97,1.4,1.15,0.66,0.41
"271",0.01,NA,NA,NA,NA,0.01,0.02,0.07,0.08,0.05,0.01,0.02,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA
"274",0.4,0.1,0.04,0.02,0.01,0.26,0.5,1.85,2.98,3.07,1.5,1.34,1.24,1.01,1.21,1.11,1.17,1.81,2.23,1.92,1.85,1.77,1.29,1.07
"275",0.2,0.08,0.02,0.02,NA,0.56,1.24,1.38,3.21,2.27,0.74,0.72,0.68,0.51,0.57,0.61,0.44,0.8,1.05,1.09,0.79,0.55,0.47,0.34
"276",0.47,0.23,0.1,0.04,0.13,0.42,1.22,2.79,5.73,4.65,2.82,2.65,2.79,3.15,2.89,2.95,3.23,7.27,9.11,6.38,4.21,3.03,1.91,0.92
"278",0.09,0.08,NA,0.01,0.6,0.26,0.49,1.99,2.83,1.89,0.38,0.47,0.67,0.5,0.71,0.81,0.93,0.88,0.79,0.61,0.64,0.42,0.31,0.29
"279",0.63,0.37,0.16,0.11,0.02,0.4,2.04,2.31,6.96,5.36,3,3.56,4.28,5.09,5.03,6.37,7.56,10.4,9.35,7.66,4.93,2.88,1.93,1.49
"280",1.03,0.43,0.18,0.09,0.06,0.73,2.44,6.61,7.9,8.19,5.85,5.4,6.09,6.77,5.4,6.75,6.37,9.11,10.52,7.42,6.5,4.65,3.48,2.38
"281",0.73,0.36,0.48,0.27,0.25,0.93,1.31,3.27,4.8,6.4,8.59,11.6,12.83,13.81,14.5,15.23,19.8,25.8,16.27,6.82,3.89,2.21,1.54,1.45
"282",0.35,0.15,0.11,0.07,0.05,0.15,0.37,2.63,2.84,3.39,1.92,1.52,1.27,1.6,1.39,1.37,1.47,1.71,2.4,2.23,1.5,0.97,0.71,0.7
"284",2.24,1.26,1,0.67,0.52,0.96,3.7,10.01,22.31,22.36,13.5,10.79,12,12.1,11.63,11.95,12.95,17.13,22.39,18.21,12.7,9.92,7.13,4.11
