"sid","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"242",0.02,NA,0.02,0.05,0.02,0.02,NA,NA,NA,NA,0.01,0.02,NA,0.02,0.03,0.02,0.01,0.02,0.02,NA,0.02,0.01,NA,0.06
"243",0.01,0.05,0.02,0.02,0.03,0.04,0.06,0.03,0.03,0.02,0.03,0.01,0.02,0.05,0.02,0.02,0.04,0.02,0.02,0.07,0.04,0.05,0.01,0.02
"244",0.19,0.08,0.06,0.15,0.1,0.07,0.05,0.02,0.1,0.09,0.14,0.2,0.22,0.11,0.14,0.07,0.05,0.08,0.03,0.04,0.07,0.1,0.16,0.11
"245",0.05,0.11,0.1,0.04,0.03,0.03,0.02,0.02,0.05,0.05,0.08,0.08,0.07,0.1,0.08,0.11,0.06,0.05,0.05,0.02,0.11,0.09,0.1,0.06
"247",0.02,0.06,0.04,0.07,NA,0.01,NA,0.02,0.01,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.01,0.02,0.03,0.06,0.08,0.01,0.05,0.04
"248",0.01,0.02,0.02,0.03,0.02,0.01,NA,0.02,0.02,0.02,0.01,0.03,0.04,0.05,0.09,0.05,0.05,0.03,0.02,0.02,0.01,0.01,0.02,0.01
"249",NA,NA,0.01,NA,NA,NA,0.01,0.02,0.05,0.06,0.05,0.06,0.07,0.15,0.02,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,NA
"250",0.05,0.05,0.11,0.1,0.08,0.06,0.04,0.05,0.06,0.1,0.08,0.16,0.15,0.24,0.48,0.42,0.31,0.29,0.3,0.5,0.61,0.21,0.16,0.11
"251",0.01,0.02,0.02,NA,0.01,0.02,0.02,0.02,0.02,0.03,0.07,0.07,0.05,0.05,0.05,0.04,0.05,0.01,0.02,0.05,0.02,0.05,0.04,0.02
"252",0.04,0.04,0.05,0.02,0.01,NA,0.02,0.01,0.01,0.02,0.05,0.02,0.04,0.07,0.02,0.04,NA,0.06,0.04,0.06,0.04,0.06,0.01,0.02
"253",0.04,0.02,0.01,0.01,0.02,0.02,0.02,NA,0.03,0.05,0.06,0.08,0.11,0.05,0.13,0.18,0.08,0.06,0.08,0.04,0.02,0.02,0.02,0.02
"254",0.02,0.02,0.02,0.02,0.02,NA,NA,NA,0.01,0.05,0.03,0.02,0.05,0.03,0.07,0.03,0.03,0.02,0.02,0.05,0.04,NA,NA,0.04
"257",0.04,0.02,0.05,0.04,0.03,0.02,0.04,0.02,0.03,0.05,0.06,0.02,0.07,0.11,0.06,0.05,0.1,0.05,0.04,0.03,0.04,0.02,0.01,0.01
"258",0.18,0.07,0.18,0.05,0.13,0.1,0.13,0.03,0.15,0.37,0.41,0.36,0.27,0.34,0.2,0.15,0.13,0.07,0.07,0.21,0.55,0.27,0.27,0.21
"259",0.04,0.03,0.04,0.02,0.01,0.02,0.03,0.01,0.04,0.02,0.05,0.05,0.08,0.05,0.08,0.08,0.12,0.08,0.05,0.05,0.01,0.03,0.02,NA
"260",0.02,0.03,0.04,0.02,0.05,0.08,0.1,0.08,0.04,0.05,0.04,0.08,0.11,0.33,0.19,0.12,0.11,0.3,0.11,0.05,0.06,0.01,0.02,0.03
"261",0.03,0.03,0.07,0.05,0.03,0.02,0.02,NA,0.01,0.02,0.02,0.06,0.03,0.07,0.03,0.02,0.03,0.02,0.04,0.02,0.02,0.03,0.04,0.02
"262",0.11,0.23,0.22,0.12,0.1,0.09,0.06,0.04,0.24,0.4,0.37,0.44,0.34,0.21,0.18,0.13,0.08,0.08,0.02,0.11,0.64,0.36,0.13,0.15
"263",0.07,0.2,0.15,0.23,0.2,0.17,0.13,0.1,0.08,0.15,0.16,0.1,0.12,0.18,0.15,0.22,0.08,0.08,0.14,0.08,0.07,0.09,0.05,0.02
"264",0.02,NA,0.03,NA,0.02,0.01,0.02,0.03,0.03,0.02,0.02,0.02,0.06,0.07,0.06,0.03,0.01,0.01,0.02,0.02,0.02,NA,0.02,0.02
