"id","sid","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","cluster"
"11",143,0.520987654320988,0.488797169811321,0.479166666666667,0.497767857142857,0.489684466019417,0.503769841269841,0.581834532374101,0.562031082529475,0.462319958847737,0.283033033033033,0.235871647509579,0.220407196969697,0.222701149425287,0.227126607319486,0.2205522971652,0.241207951070336,0.247713414634146,0.271969696969697,0.323880597014925,0.400670794633643,0.469742063492063,0.490036231884058,0.525456292026897,0.535953177257525,3
"12",144,0.381286549707602,0.33291956305859,0.3328173374613,0.341635338345865,0.316811446090956,0.362907268170426,0.415940931465354,0.429175833474361,0.41829109811566,0.431800221273905,0.421355111917725,0.426584928229665,0.427858439201452,0.430579415898797,0.430004630344189,0.4379526798648,0.423459563543004,0.421212121212121,0.427494108405342,0.428059312367606,0.443609022556391,0.435763321346845,0.465038677385105,0.447632459074107,1
"13",146,0.313200379867047,0.342283502660861,0.309092867916397,0.303342490842491,0.3042071197411,0.301343101343101,0.252165190924184,0.271823728254596,0.48678009425673,0.573888424241054,0.598915989159892,0.628341707820261,0.647421766884186,0.649779257436491,0.624505051727711,0.627054753257483,0.564443859729404,0.558172721587356,0.526112402341015,0.434547908232119,0.392704517704518,0.356903965599618,0.319958619670435,0.278621044507332,2
"14",147,0.205948372615039,0.205974842767296,0.204354469060351,0.181412337662338,0.188731979994116,0.17965367965368,0.196097667320689,0.399395888141869,0.657968574635241,0.823823823823824,0.851097178683386,0.833333333333333,0.82088122605364,0.831489973923208,0.813505979678086,0.806469604015616,0.774205469327421,0.724609733700643,0.520940750791497,0.347405948025143,0.250180375180375,0.183135704874835,0.16758361715134,0.181108746326138,2
"15",150,0.761529271206691,0.733262325015216,0.736378422336677,0.743375576036866,0.761666144691513,0.752380952380952,0.722209329310745,0.511565190332953,0.17741935483871,0.028383221931609,0.017982944011865,0.0213526392961877,0.0312384130515387,0.0379056188379439,0.0557184750733138,0.0690539607378909,0.0870377655389457,0.172043010752688,0.406451612903226,0.710076900029961,0.791666666666667,0.834401923462232,0.845960769731338,0.851763944330564,3
"16",151,0.174635241301908,0.195111492281304,0.181818181818182,0.171130952380952,0.176375404530744,0.172727272727273,0.178112055809898,0.241254993666569,0.258978675645342,0.404677404677405,0.670236851271334,0.748450413223141,0.745820271682341,0.715762970955849,0.663289789389496,0.604945157092396,0.56310051736881,0.481359044995409,0.326075122482308,0.237545735997748,0.206800144300144,0.179277244494636,0.156318225482491,0.154251545555893,2
"17",152,0.256577266922094,0.263337670787248,0.21834250941756,0.204741379310345,0.205222631402745,0.196059113300493,0.215827338129496,0.254684554828695,0.342166879523201,0.481515998757378,0.559056678557273,0.589537617554859,0.625346809353944,0.637982195845697,0.621094145009607,0.64367816091954,0.641610597140454,0.635527690700105,0.547297992794647,0.404291662218426,0.299363711001642,0.230670379096166,0.190797972771539,0.200784223272979,2
"18",153,0.0131725813636977,0.0203458388107999,0.0202378757145491,0.0207656502327349,0.0302246603970742,0.04548343605547,0.105728269736246,0.175490721511355,0.348245163499401,0.51877124371615,0.599001509346337,0.591721822887808,0.552454238779564,0.575658740138577,0.46332404919104,0.369460390983029,0.284443295931527,0.0845378586173443,0.00917089977084937,0.00796450773072632,0.0116749632197344,0.00841428970483255,0.00901013802095041,0.00981488368981063,2
"19",157,0.784863123993559,0.776456111566858,0.780599196200219,0.777950310559006,0.778387505276488,0.779710144927536,0.753362527369409,0.668111281979589,0.445383789586688,0.225616921269095,0.181284357821089,0.165884387351779,0.178035982008996,0.199845181266933,0.234476603340558,0.266320967956389,0.297852598091198,0.351251646903821,0.546787800129786,0.697402072957329,0.778209109730849,0.793308953000135,0.788748277158251,0.777810091609713,3
"20",160,0.127350427350427,0.134978229317852,0.147220426632191,0.152129120879121,0.142643764002987,0.142490842490842,0.09131156613171,0.0604748948800396,0.0443969610636277,0.0504735504735505,0.0676392572944297,0.0981206293706294,0.119805481874447,0.134215932435517,0.115497405819986,0.119266055045872,0.164751407129456,0.165384615384615,0.136969001148106,0.0913312693498452,0.0812728937728938,0.0913760152890588,0.122921746841055,0.104579367121173,1
"21",161,0.289100529100529,0.254986522911051,0.237935174069628,0.222704081632653,0.203190013869626,0.208979591836735,0.244090441932169,0.246118511713367,0.257936507936508,0.412183612183612,0.587274220032841,0.674025974025974,0.706403940886699,0.736328952946164,0.742940930037704,0.734731323722149,0.74390243902439,0.722077922077922,0.751556503198294,0.762848297213622,0.727465986394558,0.618988464951198,0.503087690407575,0.414811275680841,2
"22",164,0.0724980299448384,0.0619229225210759,0.0750044698730556,0.0836816109422492,0.0765337740136336,0.0721377912867275,0.0688810653604776,0.0943422042826845,0.173496191226688,0.568142610695802,0.761249694301785,0.760698742746615,0.736732697481047,0.712986930993118,0.68734011355837,0.678118290064415,0.609561494551116,0.430947775628627,0.144172753255002,0.0607996838152954,0.0457826747720365,0.046583850931677,0.0508308296032865,0.0527289546716004,2
"23",167,0.0867768595041322,0.1003367003367,0.104404404404404,0.108794102159031,0.109143518518519,0.111111111111111,0.110840108401084,0.135612535612536,0.277659992147625,0.507216494845361,0.512273057371097,0.512131147540984,0.49037037037037,0.473363774733638,0.454642313546423,0.431553973902728,0.365,0.190487329434698,0.0923732094463802,0.0720634920634921,0.0756172839506173,0.0862604540023895,0.096098104793757,0.0906048906048906,2
"24",168,0.110086682427108,0.105178643115215,0.107634543178974,0.115406534954407,0.100185912001653,0.109422492401216,0.118705035971223,0.17828555791202,0.342986603624902,0.751070219155326,0.864392271949132,0.840002417794971,0.814685742235265,0.806932255824231,0.776252573781743,0.763094540959073,0.713155163466528,0.559832366215345,0.277357891394093,0.144456886898096,0.0918186423505572,0.0860975287432272,0.0810595376785824,0.0811926279086316,2
"25",173,0.0450825999691215,0.0397840295538505,0.0282937736498108,0.0304508900334327,0.0282234105763518,0.0569198553207691,0.200106399148807,0.449419906370853,0.674101855507304,0.675409836065574,0.671030794763046,0.624355005159959,0.575264888564121,0.534975412387177,0.467543180281517,0.425367647058824,0.338356006897873,0.142687615762918,0.0396528037966779,0.0377124183006536,0.0333071895424837,0.0350556966972836,0.0304807281167919,0.0329898382710749,2
"26",174,0.586163522012579,0.590384615384615,0.602873563218391,0.587250384024578,0.601824212271973,0.602764227642276,0.635611510791367,0.562272240085745,0.414375,0.209136546184739,0.11360153256705,0.0805871212121212,0.068007662835249,0.0852852852852853,0.109253731343284,0.105192107995846,0.0697530864197531,0.0552147239263804,0.156565656565657,0.207278481012658,0.262089552238806,0.336335403726708,0.459669582118562,0.553446327683616,3
"27",195,0.0891555555555556,0.0854368932038835,0.0881116093672148,0.0984215991692627,0.0911111111111111,0.0938444444444444,0.123478260869565,0.184901497241923,0.363943875616231,0.545288888888889,0.652544802867383,0.66788643533123,0.658235083958557,0.610816777041943,0.58343567251462,0.546590822904816,0.45916384180791,0.256696296296296,0.0984356725146199,0.0744406261932035,0.0733702473237357,0.0825374310480693,0.0739631988676575,0.0927941176470588,2
"28",212,0.108994708994709,0.119946091644205,0.112094837935174,0.0852997448979592,0.0729889042995839,0.0850340136054422,0.138489208633094,0.318098300413413,0.372354497354497,0.670849420849421,0.796490147783251,0.792207792207792,0.798645320197044,0.760703688003391,0.678780896522832,0.637287024901704,0.504573170731707,0.326948051948052,0.183049040511727,0.145510835913313,0.113520408163265,0.104370008873114,0.0879991766158913,0.101528905876732,2
"29",216,0.339613526570048,0.326497128794094,0.333759590792839,0.334045031055901,0.328830730265935,0.324223602484472,0.343759774788865,0.324059835034251,0.307568438003221,0.251077164120642,0.221889055472264,0.235301383399209,0.23688155922039,0.252096503676945,0.253984444727783,0.233878473607233,0.222826086956522,0.228063241106719,0.230369889682025,0.270965136626733,0.302665631469979,0.317175263300027,0.343064778849768,0.337647229896757,1
"30",217,0.376258309591643,0.377842283502661,0.368131868131868,0.368818681318681,0.363455314911626,0.397129186602871,0.389521429232621,0.400516150516151,0.428252906513776,0.481585081585082,0.518766257896693,0.553443649373882,0.587588257153475,0.602908534251818,0.581329085116067,0.546903353057199,0.481066920695404,0.426017407668784,0.410488106271239,0.436056203858061,0.453449328449328,0.448399426660296,0.401758664006503,0.379898807992453,1
"31",218,0.541215574548908,0.520198355104015,0.496552467140702,0.492330586080586,0.503485187951207,0.508180708180708,0.523704113632171,0.535575892489076,0.511237733459956,0.491876491876492,0.494400235779546,0.504662004662005,0.501842027704097,0.498820664992772,0.50101511391834,0.505998588567396,0.499140087554722,0.500621600621601,0.508457711442786,0.536318170993094,0.558302808302808,0.54435419652811,0.555383137515702,0.551496441128548,3
"32",223,0.609617003367003,0.625996104917095,0.623408454290807,0.604369588744589,0.620513386290085,0.61202098752502,0.611152793307876,0.629838081049055,0.512675949307894,0.339768746018746,0.276939655172414,0.290480264290634,0.318315155869035,0.31660821868537,0.308984270861104,0.301732925586137,0.317442719881744,0.391460055096419,0.553052917232022,0.651280607936955,0.652597402597403,0.649632975719932,0.637760894245044,0.625215364345799,3
