"sid","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"280",0.82,0.4,0.28,0.17,0.06,0.24,0.84,3.37,6.22,8.37,6.79,5.74,8.26,6.92,7.11,6.74,8.21,10.75,11.28,8.06,5.92,4.22,3.37,2.38
"281",0.63,0.49,0.99,0.27,0.35,1.52,5.24,11.89,24.29,13.02,8.73,9.63,11.34,11.5,11.82,11.54,11.89,10.13,9.02,5.92,3.02,1.92,1.33,1.31
"282",0.76,0.33,0.19,0.07,0.02,0.05,0.14,1.18,1.84,1.15,1.32,1.22,1.11,1.32,1.57,1.21,1.87,2.73,3.22,2.87,2.23,1.6,1.59,1.24
"284",2.55,1.18,0.56,0.24,0.2,1.08,5.22,8.92,19.18,18.98,12.6,11.39,12.35,12.27,12.47,12.62,14.95,19.96,26.05,21.67,13.53,9.61,6.91,4.89
"285",1.7,1.22,0.66,0.31,0.4,1.34,6.56,14.47,23.45,20.23,14.18,12.93,15.21,15.16,14.71,15.61,16.89,20.68,24.1,19.34,13.9,9.55,5.62,3.4
"289",0.19,0.08,0.04,0.02,0.02,0.15,0.08,0.07,0.4,0.37,0.22,0.24,0.21,0.18,0.32,0.35,0.42,0.73,0.95,1.08,0.8,0.56,0.5,0.24
"290",0.76,0.31,0.12,0.07,0.03,0.31,1.48,3.66,6.53,7.5,3.48,2.87,2.69,2.77,3.15,3.03,3.26,6.28,7.07,5.11,3.26,2.49,1.75,1.45
"291",0.34,0.2,0.1,0.05,0.06,0.06,0.07,0.73,1.17,1.24,0.99,0.95,1.26,1.92,1.87,2.46,3.24,6.52,6.19,4.24,2.49,1.92,2.44,0.8
"293",2.06,0.79,0.45,0.24,0.47,2.6,8.61,20.89,36.66,29.53,16.71,13.89,17.1,17.32,17.03,17.82,20.08,29.75,33.91,28.14,19.82,11.81,7.67,4.98
"294",0.51,0.41,0.15,0.06,0.04,0.04,0.46,2.08,6.25,6.78,4.24,3.29,4.84,5.1,3.95,4.76,4.71,6.89,7.89,5.5,3.94,2.39,1.68,1.24
"295",1.53,0.77,0.35,0.32,0.59,0.4,0.44,1.67,2.19,2.79,3.45,2.85,4.53,3.99,3.49,3.8,5.05,7.57,8.18,5.82,4.82,3.69,4.11,2.61
"296",1.46,0.54,0.32,0.15,0.12,0.15,0.51,1.38,3.2,4.22,4.51,5.65,5.92,4.65,4.19,3.95,4.09,7.15,5.86,5.31,4.15,3.02,2.16,2.87
"297",1.69,0.88,0.34,0.17,0.15,1.36,3.5,5.66,12.78,7.97,5.11,5.7,6.34,6.92,6.91,8.3,9.54,13.92,16.43,13.05,10.59,7.28,4.38,2.85
"298",0.18,0.05,0.03,0.02,0.01,0.01,0.41,0.45,0.76,1.52,0.63,0.73,0.69,0.68,0.63,0.92,0.92,1.79,2.76,2,1.09,1.04,0.75,0.37
